Hidden_Neurons,Learning_Rate,Batch_Size,Activation_Function,Epochs,Balanced_Accuracy,Macro F1 Score,Accuracy,Time(s)
8,0.01,8,ReLU,50,0.6,0.5404411764705883,0.6,0.06752489999053068
8,0.01,8,ReLU,100,0.6,0.5404411764705883,0.6,0.05658350000157952
8,0.01,8,ReLU,300,0.6,0.5404411764705883,0.6,0.04764689999865368
8,0.01,8,ReLU,500,0.6,0.5404411764705883,0.6,0.05687539999780711
8,0.01,8,ReLU,1000,0.6,0.5404411764705883,0.6,0.047278499987442046
8,0.01,8,Tanh,50,0.64,0.5989304812834224,0.64,0.056854199996450916
8,0.01,8,Tanh,100,0.64,0.5989304812834224,0.64,0.04697840000153519
8,0.01,8,Tanh,300,0.64,0.5989304812834224,0.64,0.04649269999936223
8,0.01,8,Tanh,500,0.64,0.5989304812834224,0.64,0.16702979999536183
8,0.01,8,Tanh,1000,0.64,0.5989304812834224,0.64,0.046527500002412125
8,0.01,8,Sigmoid,50,0.62,0.5703301673450927,0.62,0.06682090001413599
8,0.01,8,Sigmoid,100,0.62,0.5703301673450927,0.62,0.057635799996205606
8,0.01,8,Sigmoid,300,0.62,0.5703301673450927,0.62,0.05750189999525901
8,0.01,8,Sigmoid,500,0.62,0.5703301673450927,0.62,0.05806310000480153
8,0.01,8,Sigmoid,1000,0.62,0.5703301673450927,0.62,0.06868969999777619
8,0.01,8,GELU,50,0.6,0.5404411764705883,0.6,0.0580195999937132
8,0.01,8,GELU,100,0.6,0.5404411764705883,0.6,0.05798890000733081
8,0.01,8,GELU,300,0.6,0.5404411764705883,0.6,0.06898699999146629
8,0.01,8,GELU,500,0.6,0.5404411764705883,0.6,0.0708376000111457
8,0.01,8,GELU,1000,0.6,0.5404411764705883,0.6,0.06856210000114515
8,0.01,8,Softmax,50,0.6,0.5404411764705883,0.6,0.05796179999015294
8,0.01,8,Softmax,100,0.6,0.5404411764705883,0.6,0.06976279999071267
8,0.01,8,Softmax,300,0.6,0.5404411764705883,0.6,0.05804819999320898
8,0.01,8,Softmax,500,0.6,0.5404411764705883,0.6,0.058405799994943663
8,0.01,8,Softmax,1000,0.6,0.5404411764705883,0.6,0.05804109999735374
8,0.01,16,ReLU,50,0.58,0.5091164095371669,0.58,0.047028500004671514
8,0.01,16,ReLU,100,0.58,0.5091164095371669,0.58,0.05886040000768844
8,0.01,16,ReLU,300,0.58,0.5091164095371669,0.58,0.08667809999315068
8,0.01,16,ReLU,500,0.58,0.5091164095371669,0.58,0.04757729999255389
8,0.01,16,ReLU,1000,0.58,0.5091164095371669,0.58,0.04745549999643117
8,0.01,16,Tanh,50,0.64,0.5989304812834224,0.64,0.05679309999686666
8,0.01,16,Tanh,100,0.64,0.5989304812834224,0.64,0.04708970000501722
8,0.01,16,Tanh,300,0.64,0.5989304812834224,0.64,0.057178899995051324
8,0.01,16,Tanh,500,0.64,0.5989304812834224,0.64,0.05653620000521187
8,0.01,16,Tanh,1000,0.64,0.5989304812834224,0.64,0.05621150000661146
8,0.01,16,Sigmoid,50,0.6,0.5404411764705883,0.6,0.06815939999069087
8,0.01,16,Sigmoid,100,0.6,0.5404411764705883,0.6,0.058004099992103875
8,0.01,16,Sigmoid,300,0.6,0.5404411764705883,0.6,0.05746229999931529
8,0.01,16,Sigmoid,500,0.6,0.5404411764705883,0.6,0.0570095000002766
8,0.01,16,Sigmoid,1000,0.6,0.5404411764705883,0.6,0.05748449999373406
8,0.01,16,GELU,50,0.58,0.5091164095371669,0.58,0.047301600003265776
8,0.01,16,GELU,100,0.58,0.5091164095371669,0.58,0.047282400002586655
8,0.01,16,GELU,300,0.58,0.5091164095371669,0.58,0.05840860000171233
8,0.01,16,GELU,500,0.58,0.5091164095371669,0.58,0.04650989999936428
8,0.01,16,GELU,1000,0.58,0.5091164095371669,0.58,0.05871060000208672
8,0.01,16,Softmax,50,0.58,0.5091164095371669,0.58,0.04639129999850411
8,0.01,16,Softmax,100,0.58,0.5091164095371669,0.58,0.057739800002309494
8,0.01,16,Softmax,300,0.58,0.5091164095371669,0.58,0.046287500008475035
8,0.01,16,Softmax,500,0.58,0.5091164095371669,0.58,0.047337900003185496
8,0.01,16,Softmax,1000,0.58,0.5091164095371669,0.58,0.04650650000257883
8,0.01,32,ReLU,50,0.5599999999999999,0.47619047619047616,0.56,0.04687069999636151
8,0.01,32,ReLU,100,0.5599999999999999,0.47619047619047616,0.56,0.04715009999927133
8,0.01,32,ReLU,300,0.5599999999999999,0.47619047619047616,0.56,0.046128899994073436
8,0.01,32,ReLU,500,0.5599999999999999,0.47619047619047616,0.56,0.04609360000176821
8,0.01,32,ReLU,1000,0.5599999999999999,0.47619047619047616,0.56,0.046598599990829825
8,0.01,32,Tanh,50,0.62,0.5703301673450927,0.62,0.03638999999384396
8,0.01,32,Tanh,100,0.62,0.5703301673450927,0.62,0.03605959999549668
8,0.01,32,Tanh,300,0.62,0.5703301673450927,0.62,0.035408099996857345
8,0.01,32,Tanh,500,0.62,0.5703301673450927,0.62,0.047742700000526384
8,0.01,32,Tanh,1000,0.62,0.5703301673450927,0.62,0.03664619999472052
8,0.01,32,Sigmoid,50,0.54,0.44147644487615345,0.54,0.057025999994948506
8,0.01,32,Sigmoid,100,0.54,0.44147644487615345,0.54,0.05705149999994319
8,0.01,32,Sigmoid,300,0.54,0.44147644487615345,0.54,0.045995699998456985
8,0.01,32,Sigmoid,500,0.54,0.44147644487615345,0.54,0.04632579999451991
8,0.01,32,Sigmoid,1000,0.54,0.44147644487615345,0.54,0.047309000001405366
8,0.01,32,GELU,50,0.5599999999999999,0.47619047619047616,0.56,0.04791819999809377
8,0.01,32,GELU,100,0.5599999999999999,0.47619047619047616,0.56,0.047343300000648014
8,0.01,32,GELU,300,0.5599999999999999,0.47619047619047616,0.56,0.046111200004816055
8,0.01,32,GELU,500,0.5599999999999999,0.47619047619047616,0.56,0.059022100002039224
8,0.01,32,GELU,1000,0.5599999999999999,0.47619047619047616,0.56,0.045978499998454936
8,0.01,32,Softmax,50,0.5599999999999999,0.47619047619047616,0.56,0.04653110000072047
8,0.01,32,Softmax,100,0.5599999999999999,0.47619047619047616,0.56,0.04776949998631608
8,0.01,32,Softmax,300,0.5599999999999999,0.47619047619047616,0.56,0.04703399998834357
8,0.01,32,Softmax,500,0.5599999999999999,0.47619047619047616,0.56,0.04680229999939911
8,0.01,32,Softmax,1000,0.5599999999999999,0.47619047619047616,0.56,0.04790990000765305
8,0.01,64,ReLU,50,0.52,0.37629937629937626,0.52,0.0462147000071127
8,0.01,64,ReLU,100,0.52,0.37629937629937626,0.52,0.03628880000906065
8,0.01,64,ReLU,300,0.52,0.37629937629937626,0.52,0.03768550000677351
8,0.01,64,ReLU,500,0.52,0.37629937629937626,0.52,0.03700060000119265
8,0.01,64,ReLU,1000,0.52,0.37629937629937626,0.52,0.03557220000948291
8,0.01,64,Tanh,50,0.62,0.5703301673450927,0.62,0.04731320000428241
8,0.01,64,Tanh,100,0.62,0.5703301673450927,0.62,0.03675670000666287
8,0.01,64,Tanh,300,0.62,0.5703301673450927,0.62,0.035857900002156384
8,0.01,64,Tanh,500,0.62,0.5703301673450927,0.62,0.03550849999010097
